Variety;Treatment;Id;Plant;Leaf;Date;Licor;Time;E;A;Ca;Ci;gsw;gbw;TleafEB;TleafCnd;VPDleaf;PhiPS2;PAR;ETR;qP;NPQ;SPAD;Qamb_out;Amax;Aqe;Lcp;ETRm;alpha;Ik
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 14M 23S;0.003982728;13.20795847;399.963;322.2384031;0.313773442;3.654346615;28.07796938;27.964;1.30684539;0.249758268;1009.166401;126.0238261;0.249758268;1.352286957;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;11H 59M 19S;0.000325778;1.204999472;400.009;316.0009876;0.025254137;3.658097865;28.0454288;27.76;1.272895619;0.603202992;126.2336162;38.07224748;0.603202992;0.502388663;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 5M 20S;0.000924893;4.859791924;399.892;283.3951427;0.071748313;3.657879896;28.15842394;27.8378;1.280887115;0.413438772;379.3512463;78.41925675;0.413438772;1.1968698;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 8M 20S;0.001711319;7.662386246;399.914;299.3828907;0.133756704;3.659101484;28.10343148;27.833;1.283130213;0.38395528;505.1213436;96.97200353;0.38395528;1.143743426;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 11M 22S;0.002890842;10.92004651;399.943;313.2244813;0.226995768;3.65672656;28.09844406;27.891;1.295007548;0.302605732;757.3113663;114.5833803;0.302605732;1.262666819;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 2M 19S;0.000514477;2.685186078;399.923;284.3860045;0.03982851;3.655143374;28.12148627;27.8078;1.277301182;0.464312245;252.7618017;58.68019982;0.464312245;1.120191397;29.9;1.31816;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 17M 23S;0.004553863;14.46202221;399.985;323.5901848;0.352808587;3.66087509;28.21404516;28.0661;1.336192031;0.206955985;1261.261201;130.5127774;0.206955985;1.513699809;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;12H 20M 24S;0.004216647;14.26316208;400.03;317.0283555;0.316539955;3.66595604;28.47731395;28.1902;1.371529279;0.178713213;1471.161894;131.4580343;0.178713213;1.74462504;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;11H 56M 18S;0.000267292;0.694220827;400.031;338.9734884;0.020836335;3.657432169;28.015977;27.734;1.264961185;0.643047788;84.1176766;27.04584294;0.643047788;0.295857029;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;11H 47M 17S;0.001110124;-1.649949489;400.061;422.067054;0.087775329;3.65440489;27.76410734;27.6474;1.260174807;NA;0.020993197;NA;NA;NA;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;11H 53M 18S;0.00023308;0.250699388;400.01;370.0052307;0.01819665;3.661840289;27.99113313;27.7209;1.262705629;0.705659745;42.03900562;14.83261698;0.705659745;0.08405363;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;2;C_V3_2;FL;21/10/2020;Li1;11H 50M 17S;0.000303781;-0.020347414;399.978;393.2308992;0.023819191;3.653218415;27.94859251;27.6805;1.258512765;0.73573724;21.09119597;7.75878916;0.73573724;0.057372404;29.9;1.26323;14.46202221;0.00181888652514139;59.5098382520698;131.4580343;0.251836939370161;521.996632538395
V3;C;3;C_V3_3;FL;21/10/2020;Li2;10H 30M 17S;0.000219283;-1.646496485;400.022;540.7737141;0.01758515;3.569623182;27.95145175;27.5253;1.228568611;NA;0.020993113;NA;NA;NA;30.8;1.64988;17.09422677;0.00185598197386264;63.7082559538689;143.5410343;0.27261417968594;526.535466590049
