Variety;Treatment;Id;Plant;Date;PLA;dw_leaves;dw_panic;VDW_flow;SLA;plantHeight;plantWidth;plantArea_proj;hullArea_proj;CPN;h_50;Date_harv;nb_nodes;height_last_node;PH;height_panic;nb_tillers_harv;VDW
V3;C;1;C_V3_1;03/11/2020;1860.7;8.98;6.84;44.45;207.2048998;131.2801476;58.40933604;1567.898587;4744.065837;0.330496802;0.572961373;NA;NA;NA;NA;NA;NA;NA
V3;C;2;C_V3_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;5;59;90.5;96.5;15;61.34
V3;C;3;C_V3_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;5;56.3;87.5;94.2;15;51.98
V3;C;4;C_V3_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;5;64;95.6;101.6;14;69.88
V3;C;5;C_V3_5;03/11/2020;2524.8;12.01;14.72;56.44;210.2248127;126.7726747;63.57414871;1619.564876;4725.212359;0.342749649;0.596296296;NA;NA;NA;NA;NA;NA;NA
V3;C;6;C_V3_6;03/11/2020;2273.3;11.65;13.25;54.37;195.1330472;131.4679589;77.00266166;2090.443267;6464.76754;0.323359387;0.552857143;NA;NA;NA;NA;NA;NA;NA
V3;C;7;C_V3_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;4;44.3;78.5;89.2;14;66.43
V3;C;8;C_V3_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;5;60.5;92.2;99.3;13;52.99
V3;C;9;C_V3_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30/11/2020;5;56;88.5;92.3;17;57.1
V3;C;10;C_V3_10;03/11/2020;2604.2;11.67;10.55;51.05;223.1533847;128.6507884;76.81485029;1825.198293;6424.953016;0.284079633;0.548905109;NA;NA;NA;NA;NA;NA;NA
V3;S-AF;1;D_V3_1;12/11/2020;3852.5;12.69;10.08;58.65;303.5855004;149.028322;93.24834516;2107.947548;9931.646949;0.212245518;0.578449905;NA;NA;NA;NA;NA;NA;NA
V3;S-AF;2;D_V3_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;60.5;96.5;106.5;11;66.16
V3;S-AF;3;D_V3_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;6;67;98.5;103;13;43.04
V3;S-AF;4;D_V3_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;5;59;95.5;104.5;12;70.53
V3;S-AF;5;D_V3_5;12/11/2020;3436;13.69;12.29;53.93;250.9861213;139.6377535;87.23838132;2237.620321;9436.659388;0.237119963;0.597175521;NA;NA;NA;NA;NA;NA;NA
V3;S-AF;6;D_V3_6;12/11/2020;3167.5;12.7;8.11;48.53;249.4094488;129.8715623;98.6009692;2073.115351;10084.73225;0.205569697;0.491684743;NA;NA;NA;NA;NA;NA;NA
V3;S-AF;7;D_V3_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;6;71;105;109.5;15;72.9
V3;S-AF;8;D_V3_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;NA;NA;NA;NA;NA;NA
V3;S-AF;9;D_V3_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;5;59;92;94.5;15;65.66
V3;S-AF;10;D_V3_10;12/11/2020;2936.7;11.92;7.01;45.38;246.3674497;140.6707161;98.88268625;1917.005382;9894.107541;0.193752228;0.602803738;NA;NA;NA;NA;NA;NA;NA
V3;S;1;L_V3_1;13/11/2020;2917.8;12.08;6.03;45.25;241.5397351;190.5346348;109.4940287;3323.811673;15630.1238;0.212654213;0.597831444;NA;NA;NA;NA;NA;NA;NA
V3;S;2;L_V3_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;5;68;100.5;107.5;11;43.75
V3;S;3;L_V3_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;44.5;77;76.5;12;21.68
V3;S;4;L_V3_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;5;63;96;99.5;14;40.6
V3;S;5;L_V3_5;13/11/2020;4040;15.82;NA;41.83;255.3729456;126.3031463;99.07049762;2076.422206;9755.598854;0.212844156;0.614126394;NA;NA;NA;NA;NA;NA;NA
V3;S;6;L_V3_6;13/11/2020;2326.6;10.13;6.44;43.62;229.6742349;136.820583;70.33535803;1576.461135;7293.623913;0.216142367;0.586822237;NA;NA;NA;NA;NA;NA;NA
V3;S;7;L_V3_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;5;59;91;98;12;45.58
V3;S;8;L_V3_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;55.5;89.5;93;15;46.09
V3;S;9;L_V3_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;50;84.5;93;14;48.2
V3;S;10;L_V3_10;13/11/2020;3831.8;13.66;2.65;35.29;280.5124451;133.8156011;60.00573268;2066.810283;6797.948525;0.304034412;0.496842105;NA;NA;NA;NA;NA;NA;NA
V5;C;1;C_V5_1;04/11/2020;2047.4;11.82;7.51;60.86;173.21489;159.0762303;79.2563981;1957.71937;8430.185266;0.232227325;0.559031877;NA;NA;NA;NA;NA;NA;NA
V5;C;2;C_V5_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;3;79.3;118;127.4;7;34.79
V5;C;3;C_V5_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;3;77.6;116.1;124.6;10;41
V5;C;4;C_V5_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;4;68;106.8;116.5;8;39.88
V5;C;5;C_V5_5;04/11/2020;2332.8;12.72;5.27;53.4;183.3962264;146.2111515;83.29434255;1738.082528;6972.030144;0.249293605;0.597944766;NA;NA;NA;NA;NA;NA;NA
V5;C;6;C_V5_6;04/11/2020;1751.4;10.15;6.09;52.14;172.5517241;150.7186243;76.25141618;1639.273727;7424.204968;0.220801249;0.568224299;NA;NA;NA;NA;NA;NA;NA
V5;C;7;C_V5_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;3;68.9;111.3;117.2;10;47.37
V5;C;8;C_V5_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;3;72;113.5;121.9;10;49.89
V5;C;9;C_V5_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;03/12/2020;4;72.5;114.1;122.7;9;44.81
V5;C;10;C_V5_10;04/11/2020;2561.8;14.45;7.62;68.94;177.2871972;159.5457587;92.59100536;2102.71831;8692.326206;0.241905131;0.51559741;NA;NA;NA;NA;NA;NA;NA
V5;S-AF;1;D_V5_1;12/11/2020;2912.7;12.51;5.47;42.1;232.8297362;174.664574;99.54002605;2367.769281;12579.62582;0.188222552;0.512365591;NA;NA;NA;NA;NA;NA;NA
V5;S-AF;2;D_V5_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;84;123;133;9;40.42
V5;S-AF;3;D_V5_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;89;126.5;134.5;10;45.17
V5;S-AF;4;D_V5_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;92.6;131;140.5;7;38.71
V5;S-AF;5;D_V5_5;12/11/2020;2405.8;10.62;5.39;43;226.5348399;174.1011399;98.03753509;1843.496219;11650.41745;0.158234349;0.599244876;NA;NA;NA;NA;NA;NA;NA
V5;S-AF;6;D_V5_6;12/11/2020;1973;9.57;6.57;37.06;206.1650993;183.02218;79.35030378;1519.327514;11340.79008;0.133970165;0.493073371;NA;NA;NA;NA;NA;NA;NA
V5;S-AF;7;D_V5_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;84;123;133;8;40.78
V5;S-AF;8;D_V5_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;4;90.5;131.5;141.5;6;35.78
V5;S-AF;9;D_V5_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/12/2020;5;98;135.2;143.5;6;32.7
V5;S-AF;10;D_V5_10;12/11/2020;2656.2;12.31;9.25;47.41;215.775792;166.5886851;98.50706351;1703.550153;11399.26408;0.149443871;0.619503946;NA;NA;NA;NA;NA;NA;NA
V5;S;1;L_V5_1;13/11/2020;2210.4;10.7;6.71;37.12;206.5794393;187.3418415;97.38019529;1743.488132;13343.96768;0.130657401;0.476190476;NA;NA;NA;NA;NA;NA;NA
V5;S;2;L_V5_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;5;87;123;130.5;9;40.8
V5;S;3;L_V5_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;76.5;115;124;8;37.88
V5;S;4;L_V5_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;81;121.5;128;8;40.39
V5;S;5;L_V5_5;13/11/2020;2350.9;10;3.69;30.75;235.09;170.7205352;98.97659194;1385.439604;11101.82358;0.124793877;0.560506051;NA;NA;NA;NA;NA;NA;NA
V5;S;6;L_V5_6;13/11/2020;1839.9;9;4.96;23.1;204.4333333;178.5147071;98.69487488;1202.398615;11639.23587;0.103305632;0.46554445;NA;NA;NA;NA;NA;NA;NA
V5;S;7;L_V5_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;5;78;121.5;131.5;6;27.81
V5;S;8;L_V5_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;75;116.5;125.5;6;31
V5;S;9;L_V5_9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/12/2020;4;88;128;136.5;7;35.75
V5;S;10;L_V5_10;13/11/2020;2492.2;11.06;4.89;38.43;225.3345389;175.9792536;98.88268625;1645.375975;12142.91826;0.135500869;0.546958378;NA;NA;NA;NA;NA;NA;NA
V6;C;1;C_V6_1;01/12/2020;1386.2;8.11;8.11;65.73;170.9247842;190.159012;93.43615653;1784.519578;11200.42956;0.159325994;0.529876543;NA;NA;NA;NA;NA;NA;NA
