Date;DAS;Treatment;Variety;Id;Plant;Event;nb_Leaves;nb_tillers
24/08/2020;18;C;V1;2;C_V1_2;NA;5.6;5
24/08/2020;18;C;V1;3;C_V1_3;NA;5.7;5
24/08/2020;18;C;V1;4;C_V1_4;NA;5;2
24/08/2020;18;C;V1;7;C_V1_7;NA;5.4;4
24/08/2020;18;C;V1;8;C_V1_8;NA;5.3;3
24/08/2020;18;C;V1;9;C_V1_9;NA;5.6;4
24/08/2020;18;C;V2;2;C_V2_2;NA;5.3;7
24/08/2020;18;C;V2;3;C_V2_3;NA;5.4;9
24/08/2020;18;C;V2;4;C_V2_4;NA;5;8
24/08/2020;18;C;V2;7;C_V2_7;NA;5.8;8
24/08/2020;18;C;V2;8;C_V2_8;NA;5.4;8
24/08/2020;18;C;V2;9;C_V2_9;NA;5.3;8
24/08/2020;18;C;V3;2;C_V3_2;NA;5.7;5
24/08/2020;18;C;V3;3;C_V3_3;NA;5.7;6
24/08/2020;18;C;V3;4;C_V3_4;NA;5.5;5
24/08/2020;18;C;V3;7;C_V3_7;NA;6.3;7
24/08/2020;18;C;V3;8;C_V3_8;NA;6;5
24/08/2020;18;C;V3;9;C_V3_9;NA;6.4;9
24/08/2020;18;C;V4;2;C_V4_2;NA;6.1;4
24/08/2020;18;C;V4;3;C_V4_3;NA;6.3;5
24/08/2020;18;C;V4;4;C_V4_4;NA;6.2;5
24/08/2020;18;C;V4;7;C_V4_7;NA;6.3;5
24/08/2020;18;C;V4;8;C_V4_8;NA;6.2;4
24/08/2020;18;C;V4;9;C_V4_9;NA;6.2;5
24/08/2020;18;C;V5;2;C_V5_2;NA;5;3
24/08/2020;18;C;V5;3;C_V5_3;NA;5;4
24/08/2020;18;C;V5;4;C_V5_4;NA;5;4
24/08/2020;18;C;V5;7;C_V5_7;NA;4.9;5
24/08/2020;18;C;V5;8;C_V5_8;NA;4.8;3
24/08/2020;18;C;V5;9;C_V5_9;NA;5;4
24/08/2020;18;C;V6;2;C_V6_2;NA;4.3;2
24/08/2020;18;C;V6;3;C_V6_3;NA;5;4
24/08/2020;18;C;V6;4;C_V6_4;NA;4.8;4
24/08/2020;18;C;V6;7;C_V6_7;NA;5;3
24/08/2020;18;C;V6;8;C_V6_8;NA;4.7;3
24/08/2020;18;C;V6;9;C_V6_9;NA;4.6;3
24/08/2020;18;C;V7;2;C_V7_2;NA;5;3
24/08/2020;18;C;V7;3;C_V7_3;NA;5;4
24/08/2020;18;C;V7;4;C_V7_4;NA;5;3
24/08/2020;18;C;V7;7;C_V7_7;NA;4.6;3
24/08/2020;18;C;V7;8;C_V7_8;NA;5.2;4
24/08/2020;18;C;V7;9;C_V7_9;NA;5;3
24/08/2020;18;C;V8;2;C_V8_2;NA;5.4;5
24/08/2020;18;C;V8;3;C_V8_3;NA;5.7;8
24/08/2020;18;C;V8;4;C_V8_4;NA;5.7;6
24/08/2020;18;C;V8;7;C_V8_7;NA;5.5;7
24/08/2020;18;C;V8;8;C_V8_8;NA;5.4;6
24/08/2020;18;C;V8;9;C_V8_9;NA;5.6;7
24/08/2020;18;S-AF;V1;2;D_V1_2;NA;4;1
24/08/2020;18;S-AF;V1;3;D_V1_3;NA;4.4;1
24/08/2020;18;S-AF;V1;4;D_V1_4;NA;4.2;1
24/08/2020;18;S-AF;V1;7;D_V1_7;NA;4.3;2
24/08/2020;18;S-AF;V1;8;D_V1_8;NA;4.3;1
24/08/2020;18;S-AF;V1;9;D_V1_9;NA;4.3;1
24/08/2020;18;S-AF;V2;2;D_V2_2;NA;4.5;2
24/08/2020;18;S-AF;V2;3;D_V2_3;NA;4.3;2
24/08/2020;18;S-AF;V2;4;D_V2_4;NA;4.5;2
24/08/2020;18;S-AF;V2;7;D_V2_7;NA;4.4;2
24/08/2020;18;S-AF;V2;8;D_V2_8;NA;4.4;2
24/08/2020;18;S-AF;V2;9;D_V2_9;NA;4.6;3
24/08/2020;18;S-AF;V3;2;D_V3_2;NA;5.1;2
24/08/2020;18;S-AF;V3;3;D_V3_3;NA;5;2
24/08/2020;18;S-AF;V3;4;D_V3_4;NA;5.1;2
24/08/2020;18;S-AF;V3;7;D_V3_7;NA;5.1;2
24/08/2020;18;S-AF;V3;8;D_V3_8;NA;5;2
24/08/2020;18;S-AF;V3;9;D_V3_9;NA;5.2;4
24/08/2020;18;S-AF;V4;2;D_V4_2;NA;5.3;2
24/08/2020;18;S-AF;V4;3;D_V4_3;NA;5.2;1
24/08/2020;18;S-AF;V4;4;D_V4_4;NA;5;1
24/08/2020;18;S-AF;V4;7;D_V4_7;NA;5.2;2
24/08/2020;18;S-AF;V4;8;D_V4_8;NA;5.1;1
24/08/2020;18;S-AF;V4;9;D_V4_9;NA;5.1;1
24/08/2020;18;S-AF;V5;2;D_V5_2;NA;4.1;1
24/08/2020;18;S-AF;V5;3;D_V5_3;NA;4;1
24/08/2020;18;S-AF;V5;4;D_V5_4;NA;3.8;1
24/08/2020;18;S-AF;V5;7;D_V5_7;NA;4.2;1
24/08/2020;18;S-AF;V5;8;D_V5_8;NA;4;1
